'2021-04-17', '7.4.3', 'Bike 40:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Devour', 'Endurance', 'AirDyne', '20.1km', '0:40:00', '0:00:00', '555'
'2021-04-18', '7.4.2', '8x2:30/0:30r', 'Devour', 'Intervals', 'Rower', '5.3km', '0:20:00', '0:04:00', '368'
'2021-04-21', '7.4.4', '8x0:15+0:15/0:15r TT+1', 'Devour', 'Devour', 'Rower', '2.5km', '0:09:05', '0:02:00', '181'
'2021-04-22', '8.1.1', 'Bike 30:00 @ 6, 12, 18, 24 Max 0:07', 'Devour', 'Polarisation', 'AirDyne', '15km', '0:30:00', '0:00:00', '413'
'2021-04-23', '8.1.2', '10x0:15+0:15/1:00r TT+2', 'Devour', 'Devour', 'Rower', '3.8km', '0:13:50', '0:10:00', '282'
'2021-04-24', '8.1.3', 'Bike 45:00', 'Devour', 'Endurance', 'AirDyne', '22.6km', '0:45:00', '0:00:00', '619'
'2021-04-26', '8.1.4', '4x4:00/2:00r', 'Devour', 'Intervals', 'BikeErg', '8.4km', '0:16:00', '0:08:00', '293'
'2021-04-27', '8.1.5', '6x1:00+1:00/1:00r TT-2+1', 'Devour', 'Ascending Devour', 'Rower', '5.3km', '0:21:00', '0:06:00', '381'
'2021-04-29', '8.2.3', 'Bike 40:00 @ 7, 14, 21, 28, 35 Max 0:07', 'Devour', 'Polarisation', 'AirDyne', '20.0km', '0:40:00', '0:00:00', '554'
'2021-04-30', '8.2.1', '10x0:30+0:30/0:30r TT+1', 'Devour', 'Devour', 'Rower', '6.3km', '0:27:30', '0:05:00', '380'
'2021-05-01', '8.2.2', '10x2:00/1:00r', 'Devour', 'Intervals', 'Rower', '5.5km', '0:20:00', '0:10:00', '408'
'2021-05-02', '8.2.5', '8x2:30/0:30+33%', 'Devour', 'Flux', 'BikeErg', '12.0km', '0:24:00', '0:00:00', '401'
'2021-05-04', '8.2.4', '6x1:30+1:00/0:30r', 'Devour', 'Ascending Devour', 'Rower', '6.0km', '0:24:00', '0:03:00', '420'
'2021-05-05', '8.3.1', 'Bike 30:00 @ 6, 12, 18, 24 Max 0:07', 'Devour', 'Polarisation', 'AirDyne', '15.2km', '0:30:00', '0:00:00', '426'
'2021-05-06', '8.3.3', 'Bike 45:00', 'Devour', 'Endurance', 'AirDyne', '22.4km', '0:45:00', '0:00:00', '603'
'2021-05-07', '8.3.2', '4x2:00+2:00/2:00r TT+3', 'Devour', 'Devour', 'Rower', '5.1km', '0:20:00', '0:08:00', '379'
